user_id,item_id
100014756,92669043
100014756,281896896
100014756,243095862
100022513,128239454
100022513,135893574
100022513,48386400
100022795,255567718
100022795,165280363
100022795,204566392
100031405,124049411
100031405,309984252
100036738,158692159
100036738,197763753
100036738,20395245
100058635,251642276
100058635,401339820
100058635,287207214
100073084,261908742
100073084,24857795
100073084,372610223
100075093,27092963
100075093,36062416
100075093,328065129
100076457,29235369
100076457,203328223
100076457,316348303
100094762,109214086
100094762,54889793
100094762,88314398
100110794,371952242
100110794,239784894
100110794,159296870
100112070,401991713
100112070,246165089
100112070,294615477
100112779,309579368
100112779,242834250
100112779,236208292
100114414,226983134
100114414,62157855
100114414,46890977
100121590,180915265
100121590,245003931
100121590,234248026
100140061,218241639
100140061,380315317
100140061,262713991
100146314,371614636
100146314,59711915
100146314,233354492
100164732,27923008
100164732,92542533
100164732,139176075
1001707,22380360
1001707,177912919
1001707,73444408
100171233,376690116
100171233,330294576
100171233,205108514
100176419,287331590
100176419,160369875
100176419,154867618
100179144,50861319
100179144,204486438
100179144,284340901
100183608,105799554
100183608,213265276
100183608,331771559
100211830,82488240
100211830,62225002
100211830,348232712
100212809,395200199
100212809,89569077
100212809,191249234
100213955,213423659
100213955,112074
100213955,258775135
100247732,249291009
100247732,57087639
100247732,54173411
100256849,200773899
100256849,108013770
100256849,270338744
100261182,125247335
100261182,27003355
100261182,241190170
100268421,284019855
100268421,320409806
100268421,383354522
100289917,210984666
100289917,110688994
100289917,312884277
10029139,189015413
10029139,135692035
10029139,118200338
100293116,173210984
100293116,250885475
100293116,327006575
100310674,2217535
100310674,112921337
100310674,182983546
10031528,97282222
10031528,209444194
10031528,238908737
100322225,245751477
100322225,233292152
100322225,375635645
100326566,31719948
100326566,12112299
100326566,215496637
100329603,32388041
100329603,206544486
100329603,347040750
100368294,232077523
100368294,180251224
100368294,372965485
100371582,224807602
100371582,218401745
100371582,235941652
10038587,147479712
10038587,350787499
10038587,181021404
100424208,252977259
100424208,10789661
100424208,12376117
100439566,396411440
100439566,217358579
