user_id,item_num
14152,44
18169,204
19095,1216
20401,144
36937,207
38568,69
49928,472
61168,2834
73858,947
86174,202
128463,200
135349,63
158516,26
205463,1156
229807,235
230169,285
230326,744
234304,453
242921,123
263901,893
264970,97
271169,54
303013,1077
311547,113
325214,203
360451,87
364759,3
369232,39
371408,272
375449,186
413028,354
423794,946
438276,1504
440799,204
450948,148
454497,470
469275,269
482573,140
484555,336
490811,153
493185,244
495178,630
528023,105
602312,1200
608319,579
627349,548
628916,31
643640,6428
649054,780
651992,181
666694,93
679422,483
691173,458
698659,51
699191,68
736640,78
739573,1773
748014,365
771719,1959
805176,120
806158,16
807799,391
813598,161
814675,153
828416,123
829373,88
846647,709
847362,105
865428,110
866393,196
876320,428
876631,533
893399,1335
899031,265
907488,8
939299,2940
940671,124
946815,293
949924,238
950795,220
988074,960
991004,477
993667,78
996670,15
1001707,580
1008870,372
1017622,2059
1023558,301
1027626,198
1033896,126
1040892,125
1042935,219
1050250,602
1053509,395
1056361,22
1064331,111
1067390,401
1074226,253
1076545,350
1088688,344
1143730,259
1144286,831
1156473,142
1165338,344
1186691,672
1187238,212
1213057,134
1234370,297
1237312,96
1259623,108
1266327,204
1280538,229
1299235,286
1342803,269
1351481,228
1376538,306
1393423,259
1427343,74
1434119,883
1434429,396
1440595,281
1463350,19
1470081,106
1472133,481
1473160,548
1484148,90
1496806,4
1535129,551
1535406,1972
1560785,173
1561610,2094
1563139,135
1577314,306
1586570,110
1593847,576
1627203,105
1637359,280
1655526,171
1677095,93
1678275,594
1689600,197
1692400,885
1701869,195
1702520,135
1715517,418
1726290,1027
1773594,67
1778994,205
1790150,1632
1792749,269
1816423,303
1825962,1031
1845368,273
1892717,123
1897050,174
1902324,6679
1913138,241
1927352,46
1928096,1410
1932774,284
1965298,61
1972513,313
2005140,208
2024732,65
2030793,420
2040122,218
2052996,234
2072250,665
2074637,140
2076213,878
2086248,290
2095294,1925
2105466,335
2125036,617
2144931,51
2188489,80
2202055,275
2210210,236
2229978,604
2288846,199
2289510,915
2302904,735
2310758,103
2332581,143
2334161,96
2336350,609
2344622,333
2355429,244
2384059,328
2395202,400
2432940,878
2468536,163
2471118,1429
2474180,482
2476290,261
2484561,12
2487141,191
2499047,87
2506341,71
2507259,366
2511629,132
2559590,320
2583781,254
2593286,289
2604596,552
2616976,1109
2617659,687
2622606,3
2641662,201
2642753,354
2670259,48
2682058,505
2699472,707
2718579,808
2754832,79
2764328,1296
2807180,549
2838689,456
2849616,3752
2850672,310
2863265,415
2869892,1429
2880047,312
2939036,222
2978492,441
2989488,466
2996605,1420
2998777,2223
3025875,85
3037055,40
3039555,267
3090816,143
3115117,18
3135611,16
3135836,340
3153929,696
3160569,25
3170687,487
3191999,316
3219318,396
3230317,2104
3248168,98
3263428,493
3274373,23
3303277,1040
3303763,408
3322548,293
3325137,273
3370238,89
3391398,1257
3401723,617
3410120,295
3413900,249
3416128,108
3435374,707
3441899,63
3477953,50
3498609,462
3503734,5422
3523116,218
3564077,544
3586430,868
3616625,47
3616868,361
3624197,180
3639832,848
3649107,709
3653864,795
3673346,397
3699059,151
3703520,1408
3716598,1272
3727568,705
3734806,111
3750447,408
3755331,60
3762207,211
3762752,494
3773471,203
3778664,47
3781049,1040
3795838,382
3797162,118
3804111,110
3826065,675
3827173,156
3873034,765
3876155,145
3889704,542
3913639,115
3924010,132
3928505,670
3943164,586
3961781,378
3979052,1767
3986725,354
4008563,248
4012396,72
4035167,561
4036600,12
4064235,81
4099114,990
4164439,624
4193084,829
4205661,198
4210789,109
4225871,166
4226990,461
4232259,30
4252230,538
4257979,342
4261840,540
4264807,181
4273621,788
4310004,264
4322575,435
4345477,981
4363457,200
4402284,318
4423839,365
4428605,156
4446899,244
4497869,478
4506770,306
4510741,847
4530578,440
4552768,659
4576609,106
4595356,529
4601466,455
4606353,396
4607223,1163
4651576,241
4662641,98
4707609,1263
4722649,241
4734112,523
4739067,179
4745274,402
4767784,330
4770076,87
4770315,1393
4808540,597
4829764,547
4855596,389
4872882,243
4875694,213
4883354,1120
4900767,40
4904673,1213
4931612,813
4931941,4
5021527,54
5025251,415
5056099,599
5065225,535
5091786,257
5096071,68
5096381,620
5109731,1275
5111354,66
5130561,325
5133139,28
5184539,31
5185661,572
5187630,119
5203264,400
5224199,1148
5244763,281
5259651,847
5264644,374
5278329,56
5343078,21
5343879,535
5346838,487
5352502,133
5371101,331
5371256,299
5381539,103
5409107,783
5415211,25
5415952,101
5435909,235
5441836,254
5451459,1227
5453075,268
5465779,60
5505823,578
5526666,521
5622721,148
5633062,72
5635862,78
5648876,103
5683524,1062
5689814,66
5691036,167
5710947,100
5712215,1021
5718045,534
5725817,3157
5800470,1157
5805587,235
5850418,233
5851343,445
5856316,39
5878084,38
5897540,362
5938832,139
5957816,1289
5964232,338
5999606,1380
6018682,67
6020290,866
6035004,254
6038459,155
6043068,37
6097109,103
6112113,242
6122619,97
6162328,1609
6185058,175
6193425,404
6194289,261
6215320,57
6224347,1140
6235857,89
6241617,772
6242446,67
6252398,565
6257162,131
6307606,171
6338284,818
6352387,18
6378117,1604
6396227,81
6396896,231
6398552,580
6399863,9
6416604,184
6420343,15
6430954,184
6461380,1082
6469819,426
6479495,1035
6518269,804
6534931,848
6544602,129
6554968,81
6557135,1280
6567801,32
6590050,36
6592065,222
6597815,240
6620781,261
6629168,154
6634422,416
6657315,21
6658929,190
6660542,88
6678952,383
6681157,109
6690349,71
6696585,589
6696781,773
6698727,104
6725243,16
6734016,82
6754668,833
6761887,900
6781051,436
6794243,1148
6827397,41
6835466,306
6843786,60
6846140,111
6861691,47
6862994,189
6866692,3207
6867597,133
6882134,950
6897750,74
6910165,79
6924144,515
