1 0:0.367879441171 1:0.0 2:0.367879441171 3:0.367879441171 4:0.23105857863 5:0.0726832222895 6:0.00181708055724
1 0:5.64203799719 1:0.0 2:0.0 3:1.31406675569 4:0.49966464987 5:0.0211520076482 6:0.00501912045889
1 0:3.31091497054 1:0.367879441171 2:0.0 3:0.367879441171 4:0.23105857863 5:0.00515463917526 6:0.0283505154639
1 0:1.10363832351 1:0.0 2:0.0 3:0.367879441171 4:0.23105857863 5:0.0059500198334 6:0.00158667195557
1 0:2.20727664703 1:0.0 2:0.0 3:0.367879441171 4:0.23105857863 5:0.0351437699681 6:0.0159744408946
1 0:2.20727664703 1:0.0 2:0.0 3:0.367879441171 4:0.23105857863 5:0.00482748828624 6:0.000993894647167
1 0:3.67879441171 1:0.0 2:0.367879441171 3:0.367879441171 4:0.23105857863 5:0.0152091254753 6:0.00912547528517
1 0:2.5751560882 1:0.0 2:0.367879441171 3:0.367879441171 4:0.23105857863 5:0.0268817204301 6:0.00967741935484
1 0:1.47151776469 1:0.0 2:0.367879441171 3:0.367879441171 4:0.23105857863 5:0.0197710718002 6:0.00156087408949
1 0:1.83939720586 1:0.0 2:0.0 3:0.367879441171 4:0.23105857863 5:0.00625 6:0.009375
1 0:0.367879441171 1:0.0 2:0.367879441171 3:0.735758882343 4:0.380797077978 5:0.0726832222895 6:0.00242277407632
1 0:2.5751560882 1:0.0 2:0.367879441171 3:0.735758882343 4:0.380797077978 5:0.0726832222895 6:0.00605693519079
1 0:0.374617388171 1:0.0 2:0.367879441171 3:0.367879441171 4:0.23105857863 5:0.0726832222895 6:0.00242277407632
1 0:2.94303552937 1:0.0 2:0.367879441171 3:0.367879441171 4:0.493307149076 5:0.0181451612903 6:0.0100806451613
1 0:4.89681196084 1:0.0 2:0.503214724408 3:0.735758882343 4:0.380797077978 5:0.0185917721519 6:0.00909810126582
1 0:1.47152454567 1:0.0 2:0.367881701501 3:0.367879441171 4:0.23105857863 5:0.0188571428571 6:0.00285714285714
1 0:1.64497945646 1:0.0 2:0.503214724408 3:0.367879441171 4:0.23105857863 5:0.00604351329573 6:0.00402900886382
1 0:1.10363832351 1:0.0 2:0.0 3:0.367879441171 4:0.493307149076 5:0.0059500198334 6:0.00158667195557
1 0:0.885120087446 1:0.0 2:0.0 3:0.367879441171 4:0.380797077978 5:0.05 6:0.00625
1 0:2.94303552937 1:0.367879441171 2:0.0 3:0.367879441171 4:0.23105857863 5:0.013916500994 6:0.0198807157058
1 0:1.83939720586 1:0.0 2:0.0 3:0.367879441171 4:0.23105857863 5:0.0117493472585 6:0.00783289817232
1 0:1.47151776469 1:0.0 2:0.367879441171 3:0.735758882343 4:0.380797077978 5:0.0059500198334 6:0.00277667592225
1 0:1.47151776469 1:0.0 2:0.0 3:0.367879441171 4:0.23105857863 5:0.0104712041885 6:0.0037397157816
1 0:0.735758882343 1:0.0 2:0.367879441171 3:0.735758882343 4:0.380797077978 5:0.00604351329573 6:0.00201450443191
