user_id,item_id,tag
104891848,362175164,1
79913871,220893175,1
59832372,72615378,1
84547687,112387050,1
41302437,2628077,1
77099628,236464205,1
117604582,104722964,1
51222613,275050435,1
12269523,311720412,1
124559448,189861570,1
104891848,183993503,1
104891848,356863580,1
104891848,201648329,1
60884718,224049950,1
93398793,74641366,1
29064427,239539554,1
75867540,308335734,1
84547687,85040213,1
83012026,352792923,1
92129428,30335223,1
117106172,33499782,1
84547687,277671160,1
88158177,42706524,1
75867540,192297104,1
75867540,226572117,1
75867540,10329779,1
112982989,17099566,1
64966045,367405290,1
75867540,253295151,1
84547687,5935759,1
137634898,168986120,1
71276064,212125890,1
84547687,15559177,1
43801387,173209936,1
75867540,384638763,1
75867540,116189209,1
29064427,241284876,1
84547687,389411841,1
85381452,164587570,1
104891848,348497656,1
75867540,232362904,1
75867540,23054041,1
64966045,316103443,1
2939036,297608239,1
141030731,236493426,1
112809032,105568155,1
112809032,292383941,1
31662494,37238355,1
5203264,43614286,1
85717637,997704,1
66581357,248135509,1
84547687,145493522,1
114999744,180868813,1
112809032,288481014,1
45858056,274393725,1
45858056,48862351,1
85697381,248978618,1
5203264,324575968,1
36409669,73230394,1
135012604,111936582,1
85381452,4874781,1
5203264,135002903,1
5203264,308927237,1
40907060,246761560,1
123591416,202996860,1
111418639,53397381,1
112809032,383786823,1
112809032,119851362,1
72840840,242585565,1
112809032,25439596,1
112809032,136892262,1
58517853,344803815,1
114999744,330988511,1
46758215,98502515,1
24024083,268439908,1
127219944,246260020,1
72840840,104883287,1
24024083,282188168,1
24024083,277937738,1
127219944,204893023,1
77861025,365492646,1
72840840,313936247,1
63643294,8802685,1
38252266,391333933,1
24024083,156039106,1
137190407,381353244,1
24024083,110774368,1
101613012,82896964,1
68855010,184205073,1
103238455,341084171,1
123575075,395535869,1
82102283,175809663,1
73448027,100659110,1
139621149,141320372,1
8036273,180937999,1
43990317,212240398,1
94047794,111920743,1
74356194,267519486,1
41999826,79458119,1
141529449,93565616,1
96993474,196833738,1
103872466,186389005,1
40186813,219139994,1
25574723,168156229,1
8036273,195509994,1
139749655,249958501,1
70220697,285032879,1
8036273,169281411,1
96993474,350918260,1
8036273,205974368,1
8036273,15793169,1
52417718,305233026,1
96993474,360271909,1
105767002,150024249,1
8036273,140526246,1
112037788,122927227,1
40186813,57398795,1
32339032,316348303,1
93447066,274217078,1
8036273,345487275,1
8036273,189050087,1
8036273,285148958,1
74356194,119550936,1
8036273,81003831,1
81083913,359132945,1
96993474,28861308,1
96993474,366180043,1
41999826,77558382,1
127501729,184461055,1
105767002,32966526,1
125190441,170367570,1
95574197,297917059,1
49616948,60611753,1
22495199,61595252,1
23115142,255407990,1
23115142,284324782,1
23115142,24699843,1
70163788,345855321,1
135426325,78657432,1
119414093,382363887,1
22495199,76273367,1
86198775,320989209,1
127298242,127477520,1
124343016,177408279,1
23115142,230947655,1
12720611,390753523,1
71036667,224960347,1
71738077,368906079,1
112188013,47649820,1
112188013,326778012,1
135426325,13752435,1
105767002,379135711,1
23115142,346820299,1
28727952,154176461,1
136963600,142498133,1
27794139,337619861,1
125190441,384460175,1
65335441,357050865,1
133854282,78994855,1
106042420,41566008,1
47143734,332688630,1
60296781,168308765,1
105767002,4438757,1
127501729,270450350,1
15456571,43372585,1
25103848,361267134,1
18162415,253080700,1
91002033,342873482,1
23115142,125761342,1
136963600,184332202,1
125190441,352984857,1
7427654,327885992,1
32988961,312892549,1
109090731,62516629,1
135424089,102069211,1
38995551,369998566,1
128818870,21510203,1
74016810,93347410,1
110632475,36672341,1
58308741,255856964,1
126229065,148155282,1
11175279,3386671,1
50370611,56440686,1
58308741,404076027,1
108049615,190066787,1
16721464,381821169,1
16721464,118473569,1
49445501,376574134,1
19318050,69274697,1
137158994,167679428,1
13476086,243303246,1
33608164,121871362,1
139354564,140140765,1
126858545,126633895,1
58308741,21637170,1
98628646,149511027,1
127097416,93573678,1
26024212,243504133,1
116830510,242717283,1
85116925,397683486,1
108049615,391583071,1
15163123,245628979,1
61184967,5531630,1
74346830,331430170,1
78048479,134776158,1
65427975,139857258,1
96786471,6944707,1
108935333,62529829,1
96786471,93663735,1
123488278,212678995,1
100073084,372610223,1
65599804,47639159,1
107667652,378524289,1
85832076,392092271,1
98530100,346574708,1
116830510,237134418,1
116830510,205830907,1
85374735,271596044,1
84775451,267563698,1
32123143,246421443,1
14035158,296171667,1
118918181,352737306,1
117143651,377990126,1
6690349,349495642,1
130887529,97279181,1
70220697,311109414,1
35793784,312291456,1
129631966,70395564,1
97829437,15133583,1
13476086,108382019,1
47519738,169373460,1
123488278,120886471,1
133135970,175537015,1
118918181,3437915,1
118825889,367092834,1
130637943,369443857,1
110632475,250204735,1
125117551,232226079,1
64182182,384879874,1
16721464,296736876,1
16721464,209133195,1
140381135,353079031,1
58308741,294064907,1
130637943,246414505,1
14035158,236881371,1
55585675,84551355,1
76113934,51234594,1
83428925,381891099,1
134648874,156568583,1
27801492,182186178,1
90893900,230567688,1
58308741,282908080,1
116830510,360498198,1
130348050,382244060,1
127609734,71948541,1
138810986,393028329,1
133910532,81332743,1
111289035,177967778,1
79913871,331115759,1
79913871,331829475,1
90823472,257653607,1
50068354,156556561,1
131532094,66957036,1
60473530,228207359,1
26664688,160609829,1
110468225,63510666,1
91388134,237443798,1
71681758,119679813,1
92960199,245373881,1
141042177,58197100,1
55005684,374613985,1
124352563,291736683,1
105439382,212554838,1
134132140,214833379,1
134132140,308779203,1
96189202,91960331,1
16915261,16358948,1
6597815,101676198,1
120284895,169460602,1
79913871,234044653,1
79913871,250515265,1
79913871,204804312,1
79913871,351477684,1
8224865,123905240,1
118901681,117185752,1
75808886,342296993,1
123451185,34609957,1
119490278,159637240,1
140762201,252078375,1
74760356,305901892,1
62491723,326875842,1
75808886,260341309,1
75808886,46372431,1
52494029,132688715,1
126290391,226823594,1
116590113,368906079,1
18187983,332919998,1
126424662,147908371,1
132977088,28071657,1
89885556,96262936,1
79913871,352922066,1
57922834,177905884,1
90909280,103533548,1
142344317,279942794,1
136723996,19661084,1
20262488,29755627,1
108885915,351843253,1
39479918,100157373,1
32109732,167996284,1
79913871,383360499,1
79913871,1709374,1
79913871,301051464,1
53540927,388923015,1
81770873,341639594,1
132977088,12713208,1
117902534,307586235,1
6597815,187303998,1
92773427,308681302,1
132859392,327176259,1
92960199,189073669,1
36123691,10750044,1
91338720,309836050,1
12592427,300789682,1
80653155,381518558,1
68183978,190205698,1
32861478,23160450,1
98438834,159011782,1
55496517,356701720,1
55496517,227417837,1
124286987,178554962,1
124352563,291316360,1
92773427,162912048,1
79913871,254936621,1
94244962,177206429,1
128519833,329095328,1
69814478,77983146,1
15233684,298930111,1
74760356,16291058,1
74760356,171979076,1
39705101,185224336,1
108594053,249407046,1
110468225,107725099,1
110468225,79120408,1
74760356,189967003,1
74760356,165975900,1
74760356,221568985,1
80653155,345334775,1
79913871,12564892,1
79913871,316780994,1
121374760,90111429,1
3586430,110360067,1
33376634,333711311,1
129856530,201816873,1
75808886,17691687,1
75808886,75881695,1
140762201,52948781,1
132977088,286010795,1
15163123,177619513,1
18686636,129058,1
60017012,360021854,1
121374760,101687275,1
86528162,10579366,1
74760356,144295978,1
79913871,79170421,1
62491723,48501212,1
132859392,255015371,1
117902534,190826974,1
47041485,220022875,1
132977088,244415136,1
142309360,352940544,1
75808886,326064696,1
75808886,131669747,1
87810767,245502394,1
107667652,258490457,1
90315636,95365234,1
105390207,193230572,1
3039555,320427364,1
50301733,285169671,1
134442107,88419598,1
124352563,46955825,1
18187983,183522118,1
23987517,70997199,1
116937648,271596044,1
132977088,302075550,1
63999799,143449898,1
36123691,283572559,1
21961935,375048654,1
117902534,187103231,1
117902534,345724033,1
128519833,250901102,1
66755454,393071749,1
9249489,199698624,1
132977088,247358452,1
132977088,80211822,1
79913871,89489904,1
79913871,153834113,1
79913871,284602954,1
79913871,391745716,1
