user_id,item_id
100022513,135893574
100031405,309984252
100094762,109214086
100094762,230045141
100110794,159296870
100112070,294615477
100112070,91960331
100114414,46890977
100114414,126957530
100121590,245003931
100140061,380315317
100164732,139176075
100179144,284340901
100179144,307002806
100212809,395200199
100212809,16338065
100293116,173210984
100371582,218401745
100371582,235941652
100371582,131540294
100371582,33817334
100424208,12376117
100424208,26252117
100424208,253970950
100456028,271880426
100456028,322957624
100456028,332290127
100456028,137944514
10053537,349249738
100551544,34321264
10055317,333028913
100554558,238378882
100554558,365862032
100572495,142041279
100572495,294615477
100660281,331422692
100679735,292454294
100689236,228533090
100689236,283618627
100689236,306287880
100689236,101252817
10070648,115509518
100719209,225372288
100736785,288095081
100764607,313891623
100772220,401251820
100772220,321886986
100772220,20370261
100772220,402400063
100788568,357573820
100788568,310772034
100788568,338270179
100839322,357434507
1008870,362990490
100900329,359663067
100900329,371513173
100901664,293930751
100901664,77642813
100901664,20650412
100901664,328062713
100911467,394655941
100911467,134950161
100911467,340866257
100911467,172838745
100911467,36683036
100954737,31416373
100954737,83203227
100973258,61959352
100973258,176840086
101010463,71851096
101034881,287824233
101111532,92054179
101111532,358434672
101111532,374001098
101135329,863419
101135329,167955349
101135329,64979385
101181234,388950101
101209990,141589691
101343825,68095981
101357625,341631055
10139887,79849627
10139887,193048944
10139887,344371715
101447841,131107382
10151584,318694372
101570788,281818024
101571478,282546171
101571478,358920066
101613012,26899113
101613012,238914149
101675574,217710959
101689972,391007175
101751020,226290214
101751020,367529185
101751020,323480476
101801629,351033901
101822806,401489839
101861708,222323164
101861708,27193181
101861708,10868432
101861708,16695758
101893207,95875607
101893207,14582138
101893207,4733093
101893207,237394043
101920679,21540020
101955831,303439189
101955831,208828925
101981437,378353023
101981437,290117317
101982129,189189243
101982129,356552411
101991833,38239350
102062853,305619626
102100388,230558745
102100388,75872412
102100388,108542105
102100388,296004566
102147802,145086163
102147802,366911878
102147802,187485378
102155970,208368714
102175750,550103
102175750,393642172
102182796,81076819
102182796,86847372
102182796,373223333
102212513,402186779
102212715,330090840
102212715,163129754
102212715,318472346
102212715,188078628
102212715,384795320
1023558,40476238
102367955,218012473
102367955,344694533
102367955,342757268
102367955,149532787
102411049,393708186
102411049,181387529
102411049,198577863
102411295,160701961
102438554,82413543
10249768,210979034
102689596,28481796
102700496,366640976
102714608,168285044
102721378,224725463
102721378,50529369
102737187,19900149
102737187,196553431
102743010,315119130
1027626,292456569
1027626,7152134
1027626,93121568
1027626,127206027
102764619,106997916
102764619,273666119
102764619,58592756
10286090,149656656
10286090,83665618
10286090,192651485
102933198,36788920
102933198,267948456
102976052,238626342
102976052,316367630
103064485,10970912
103064485,166287083
103064485,370945605
103064485,168614906
103064485,334259057
103121345,206855739
103193588,102368482
103228540,381277616
103241954,289126359
103291457,22302304
103291457,64534801
103291457,390634710
103298536,382752910
103298536,159550399
103298536,87010968
103298536,65322515
103298536,147681624
103300577,135896452
103339321,127272512
103339321,61496753
103348019,302528375
103348019,69980982
1033896,365611269
1033896,353789663
103425303,68000960
10350270,267041637
103541652,313163336
103550913,248523114
103550913,6029511
103550913,329888543
103634139,152472729
