user_id,item_id
100014756,92669043
100014756,281896896
100014756,243095862
100014756,245216332
100014756,390709888
100022513,128239454
100022513,135893574
100022513,48386400
100022513,66800051
100022513,163789513
100022795,255567718
100022795,165280363
100022795,204566392
100022795,283643531
100022795,29681432
100031405,124049411
100031405,309984252
100036738,158692159
100036738,197763753
100036738,20395245
100036738,141641269
100036738,238552947
100058635,251642276
100058635,401339820
100058635,287207214
100058635,132543896
100058635,98693630
100073084,261908742
100073084,24857795
100073084,372610223
100073084,379814695
100073084,289022443
100075093,27092963
100075093,36062416
100075093,328065129
100075093,81403560
100075093,21791372
100076457,29235369
100076457,203328223
100076457,316348303
100076457,27971816
100076457,31593238
100094762,109214086
100094762,54889793
100094762,88314398
100094762,230045141
100094762,198382646
100110794,371952242
100110794,239784894
100110794,159296870
100110794,254494711
100110794,377543940
100112070,401991713
100112070,246165089
100112070,294615477
100112070,91960331
100112070,17607309
100112779,309579368
100112779,242834250
100112779,236208292
100112779,19516242
100112779,369501575
100114414,226983134
100114414,62157855
100114414,46890977
100114414,126957530
100114414,63477989
100121590,180915265
100121590,245003931
100121590,234248026
100121590,350228417
100121590,236747596
100140061,218241639
100140061,380315317
100140061,262713991
100140061,20633050
100140061,76629961
100146314,371614636
100146314,59711915
100146314,233354492
100146314,52342750
100146314,210533301
100164732,27923008
100164732,92542533
100164732,139176075
100164732,92647251
100164732,60918308
1001707,22380360
1001707,177912919
1001707,73444408
1001707,143096608
1001707,325344195
100171233,376690116
100171233,330294576
100171233,205108514
100171233,206774074
100171233,239684895
100176419,287331590
100176419,160369875
100176419,154867618
100176419,331166421
100176419,16339522
100179144,50861319
100179144,204486438
100179144,284340901
100179144,393278814
100179144,307002806
100183608,105799554
100183608,213265276
100183608,331771559
100183608,132998685
100183608,241432029
100211830,82488240
100211830,62225002
100211830,348232712
100211830,351485241
100211830,250977371
100212809,395200199
100212809,89569077
100212809,191249234
100212809,16338065
100212809,242086790
100213955,213423659
100213955,112074
100213955,258775135
100213955,56655745
100213955,331334643
